# energy,localization
1.018324105836756033e+00,-8.662079910854528775e-01
1.031475096594921981e+00,-8.720203297397171038e-01
1.112794567125105827e+00,-8.840459436156172801e-01
1.123261310331493013e+00,-8.855582856530617164e-01
1.209090414430978422e+00,-8.929132642379582485e-01
1.217689420952987378e+00,-8.935086493593638046e-01
1.303521965114120773e+00,-8.981601213514401882e-01
1.310835140082943218e+00,-8.982227073500482772e-01
1.394305623896387347e+00,-9.013515479826084142e-01
1.400778412422918784e+00,-9.010280642422243691e-01
1.477338659378301333e+00,-9.034936303836736959e-01
1.490213899774607498e+00,-8.921887687701338665e-01
1.562272817655699475e+00,-9.025258061047173319e-01
1.568358579631348171e+00,-9.021796243354653910e-01
1.638004133239498783e+00,-9.062304141115773426e-01
1.643128172304586743e+00,-9.078014360751471834e-01
1.707529430838766737e+00,-9.043030885400025198e-01
1.712216949387718179e+00,-9.025699940106934882e-01
1.770608064449021191e+00,-9.058797043859528886e-01
1.774982989660170318e+00,-9.046951074940802195e-01
1.826882656399671401e+00,-9.066983914532679156e-01
1.831149459151413028e+00,-9.051682072003000012e-01
1.876262330170398007e+00,-9.078300999093006363e-01
1.880258499195718302e+00,-9.066877273286008121e-01
1.918377976628592885e+00,-9.073019429334353569e-01
1.922208917102361969e+00,-9.056057508552426416e-01
1.953084789057526915e+00,-9.075974058884591633e-01
1.956773940379610499e+00,-9.049915352740991459e-01
1.980234207164711657e+00,-9.077535815082052872e-01
1.983764752002327381e+00,-9.031267237426088279e-01
1.999709692377195758e+00,-9.078794369255912544e-01
2.002971833153685655e+00,-8.965747587017661724e-01
2.011428194148403570e+00,-9.079497784343976141e-01
2.013792716861414256e+00,-8.693362428372148898e-01
2.023628982766604967e+00,-6.620840636265968859e-01
-2.023298098764312769e+00,-9.429773630405335894e-01
-2.020088087702611723e+00,-9.060436113635871314e-01
-2.017629035045997554e+00,-9.243965501078709179e-01
-2.008468381570161831e+00,-9.059537313020175064e-01
-2.005301028788675666e+00,-9.137394231368907160e-01
-1.989161134972507350e+00,-9.057963553693402226e-01
-1.985672968591659870e+00,-9.095412842320867997e-01
-1.962255417272052993e+00,-9.055552310322484422e-01
-1.958576445351341455e+00,-9.075677492576769145e-01
-1.927875541134179915e+00,-9.052245092418359507e-01
-1.924036188000107783e+00,-9.064040215364417286e-01
-1.886189486539694649e+00,-9.055135695564109355e-01
-1.882199951696809537e+00,-9.057616441443537836e-01
-1.837494683617824309e+00,-9.032501856648765814e-01
-1.833151069477946038e+00,-9.038461136703799248e-01
-1.781749184691956200e+00,-9.036839898957337303e-01
-1.777304946606160563e+00,-9.036876680369072545e-01
-1.719531926484802797e+00,-9.041984537554398349e-01
-1.714889365986635772e+00,-9.020160678190211057e-01
-1.651204089696202582e+00,-8.969169937283910654e-01
-1.646201652592206299e+00,-9.010287536938367259e-01
-1.577782957755516025e+00,-8.934091925511229437e-01
-1.571568795993188328e+00,-8.950671476265683602e-01
-1.502967094300600159e+00,-8.808045402423628767e-01
-1.484104346115808770e+00,-8.991795079942193070e-01
-1.412273488901122809e+00,-8.944564375101407006e-01
-1.404673403113369412e+00,-8.967500256577326523e-01
-1.324177601508275570e+00,-8.909337115127701212e-01
-1.316400431475568178e+00,-8.921759127292521185e-01
-1.233748752406553351e+00,-8.846100379100190203e-01
-1.225066137389962062e+00,-8.858170829973270877e-01
-1.143369783387229166e+00,-8.741952194769053719e-01
-1.133250570899321463e+00,-8.721368673502619684e-01
-1.057824991475092347e+00,-8.583163754430869208e-01
-1.045797385383382849e+00,-8.522109140141161943e-01
-9.873468062724201078e-01,-8.409279872867887473e-01
-9.742780688109545784e-01,-8.203884679206880914e-01
-9.485135156801952627e-01,-8.521750493552777694e-01
-5.595636053979905489e-01,-7.529334848863362684e-01
-5.206894764313125812e-01,-8.279745160676337257e-01
-5.075774531125535338e-01,-8.663417907130829265e-01
-4.423886210855270118e-01,-8.811226542822298002e-01
-4.317856489462000846e-01,-8.883116233599300804e-01
-3.418911387352488451e-01,-8.986747986981401537e-01
-3.336334998910847616e-01,-9.014886885078416956e-01
-2.318191881938274912e-01,-9.061358977121718450e-01
